station identifier,date,observation type,observation value,TMAX_F
USC00064757,18640108,SNOW,76,168.8
SF000208660,18640108,PRCP,0,32.0
ASN00089000,18640108,PRCP,0,32.0
SWE00100003,18640108,PRCP,0,32.0
ASN00086071,18640108,TMAX,359,678.2
ASN00086071,18640108,TMIN,113,235.4
ASN00086071,18640108,PRCP,0,32.0
USP00CA0003,18640108,PRCP,0,32.0
USC00189674,18640108,PRCP,0,32.0
USC00189674,18640108,SNOW,25,77.0
USC00144559,18640108,PRCP,0,32.0
USC00144559,18640108,SNOW,0,32.0
CA006158350,18640108,TMAX,-100,-148.0
CA006158350,18640108,TMIN,-144,-227.2
CA006158350,18640108,PRCP,0,32.0
CA006158350,18640108,SNOW,0,32.0
HRE00105189,18640108,PRCP,0,32.0
ASN00067054,18640108,PRCP,20,68.0
ASN00081003,18640108,PRCP,0,32.0
ASN00078037,18640108,PRCP,0,32.0
ASN00070037,18640108,PRCP,0,32.0
EIE00101859,18640108,TMAX,17,62.6
EIE00101859,18640108,TMIN,-11,12.2
EIE00101859,18640108,PRCP,0,32.0
ASN00040214,18640108,PRCP,0,32.0
BE000006447,18640108,TMAX,18,64.4
BE000006447,18640108,TMIN,-83,-117.4
AGE00135039,18640108,TMAX,150,302.0
AGE00135039,18640108,TMIN,85,185.0
AGE00135039,18640108,PRCP,38,100.4
USC00047738,18640108,PRCP,0,32.0
USC00047738,18640108,WT01,1,33.8
NLM00006235,18640108,PRCP,0,32.0
ASN00026020,18640108,PRCP,0,32.0
GME00125218,18640108,TMAX,-43,-45.400000000000006
GME00125218,18640108,TMIN,-124,-191.20000000000002
GME00125218,18640108,PRCP,0,32.0
GME00125218,18640108,SNWD,50,122.0
NLE00100499,18640108,PRCP,0,32.0
EZE00100082,18640108,TMAX,-83,-117.4
EZE00100082,18640108,TMIN,-137,-214.6
EZE00100082,18640108,PRCP,0,32.0
ITE00100554,18640108,TMAX,10,50.0
ITE00100554,18640108,TMIN,-74,-101.20000000000002
ITE00100554,18640108,PRCP,0,32.0
USC00361920,18640108,PRCP,76,168.8
ASN00056002,18640108,PRCP,0,32.0
ASN00066062,18640108,TMAX,233,451.40000000000003
ASN00066062,18640108,TMIN,172,341.6
ASN00066062,18640108,PRCP,15,59.0
ASN00023000,18640108,PRCP,0,32.0
ASN00072001,18640108,PRCP,0,32.0
SW000010537,18640108,PRCP,0,32.0
AU000005901,18640108,TMAX,-45,-49.0
AU000005901,18640108,TMIN,-93,-135.4
GM000004204,18640108,TMAX,-35,-31.0
GM000004204,18640108,TMIN,-139,-218.20000000000002
GM000004204,18640108,PRCP,1,33.8
ASN00061055,18640108,PRCP,191,375.8
UK000047811,18640108,TMAX,11,51.8
UK000047811,18640108,TMIN,-33,-27.4
UK000047811,18640108,PRCP,0,32.0
HR000142360,18640108,PRCP,0,32.0
ASN00084016,18640108,PRCP,0,32.0
ITE00100552,18640108,PRCP,0,32.0
ITE00100553,18640108,PRCP,0,32.0
ITE00105250,18640108,PRCP,15,59.0
UK000056225,18640108,TMAX,44,111.2
UK000056225,18640108,TMIN,-74,-101.20000000000002
UK000056225,18640108,PRCP,0,32.0
ASN00026026,18640108,PRCP,0,32.0
ASN00089049,18640108,PRCP,0,32.0
SZ000006717,18640108,TMAX,-96,-140.8
SZ000006717,18640108,TMIN,-114,-173.20000000000002
USC00053010,18640108,PRCP,0,32.0
ITE00100550,18640109,TMAX,13,55.400000000000006
